student_id,ai_usage_frequency,linear_algebra_score,ideology_score,probability_score,overall_gpa
1,0.15,72,75,68,2.8
2,0.25,78,80,75,3.0
3,0.35,82,85,80,3.2
4,0.45,85,88,82,3.4
5,0.55,88,90,85,3.6
6,0.65,90,92,88,3.8
7,0.75,92,94,90,4.0
8,0.85,94,96,92,4.2
9,0.95,96,98,94,4.4
10,0.05,70,72,65,2.6
11,0.12,71,74,67,2.7
12,0.22,77,79,74,2.9
13,0.32,81,84,79,3.1
14,0.42,84,87,81,3.3
15,0.52,87,89,84,3.5
16,0.62,89,91,87,3.7
17,0.72,91,93,89,3.9
18,0.82,93,95,91,4.1
19,0.92,95,97,93,4.3
20,0.08,70,73,66,2.65
21,0.18,73,76,69,2.85
22,0.28,79,81,76,3.05
23,0.38,83,86,81,3.25
24,0.48,86,89,83,3.45
25,0.58,88,90,86,3.65
26,0.68,90,92,89,3.85
27,0.78,92,94,91,4.05
28,0.88,94,96,93,4.25
29,0.98,96,98,95,4.45
30,0.03,69,71,64,2.55
31,0.13,72,75,68,2.75
32,0.23,78,80,75,2.95
33,0.33,82,85,80,3.15
34,0.43,85,88,82,3.35
35,0.53,87,90,85,3.55
36,0.63,89,92,88,3.75
37,0.73,91,94,90,3.95
38,0.83,93,96,92,4.15
39,0.93,95,98,94,4.35
40,0.07,70,72,65,2.6
41,0.17,73,76,69,2.8
42,0.27,79,81,76,3.0
43,0.37,83,86,81,3.2
44,0.47,86,89,83,3.4
45,0.57,88,90,86,3.6
46,0.67,90,92,89,3.8
47,0.77,92,94,91,4.0
48,0.87,94,96,93,4.2
49,0.97,96,98,95,4.4
50,0.02,68,70,63,2.5
51,0.11,71,74,67,2.7
52,0.21,77,79,74,2.9
53,0.31,81,84,79,3.1
54,0.41,84,87,81,3.3
55,0.51,87,89,84,3.5
56,0.61,89,91,87,3.7
57,0.71,91,93,89,3.9
58,0.81,93,95,91,4.1
59,0.91,95,97,93,4.3
60,0.01,67,69,62,2.45
61,0.09,70,73,66,2.65
62,0.19,73,76,69,2.85
63,0.29,79,81,76,3.05
64,0.39,83,86,81,3.25
65,0.49,86,89,83,3.45
66,0.59,88,90,86,3.65
67,0.69,90,92,89,3.85
68,0.79,92,94,91,4.05
69,0.89,94,96,93,4.25
70,0.99,96,98,95,4.45
71,0.04,69,71,64,2.55
72,0.14,72,75,68,2.75
73,0.24,78,80,75,2.95
74,0.34,82,85,80,3.15
75,0.44,85,88,82,3.35
76,0.54,87,90,85,3.55
77,0.64,89,92,88,3.75
78,0.74,91,94,90,3.95
79,0.84,93,96,92,4.15
80,0.94,95,98,94,4.35
81,0.06,70,72,65,2.6
82,0.16,73,76,69,2.8
83,0.26,79,81,76,3.0
84,0.36,83,86,81,3.2
85,0.46,86,89,83,3.4
86,0.56,88,90,86,3.6
87,0.66,90,92,89,3.8
88,0.76,92,94,91,4.0
89,0.86,94,96,93,4.2
90,0.96,96,98,95,4.4
91,0.03,68,70,63,2.5
92,0.13,72,75,68,2.7
93,0.23,78,80,75,2.9
94,0.33,82,85,80,3.1
95,0.43,85,88,82,3.3
96,0.53,87,90,85,3.5
97,0.63,89,92,88,3.7
98,0.73,91,94,90,3.9
99,0.83,93,96,92,4.1
100,0.93,95,98,94,4.3 